time,low,high,open,close,volume
1739750400,0.7706,0.7875,0.7714,0.7818,2573156.01195404
1739746800,0.7691,0.7818,0.7818,0.7712,1706308.92617941
1739743200,0.7769,0.7844,0.7793,0.7816,1079256.87389618
1739739600,0.7686,0.7811,0.7714,0.7793,1457977.90797903
1739736000,0.7706,0.7759,0.7713,0.7716,1127012.12035653
1739732400,0.7661,0.7728,0.7701,0.7714,859752.04300846
1739728800,0.7634,0.7727,0.7727,0.7705,2172895.97163097
1739725200,0.7715,0.7774,0.7735,0.7725,723686.22127099
1739721600,0.7687,0.7765,0.77,0.7735,1379535.59292865
1739718000,0.7692,0.775,0.7713,0.7701,679646.83289964
1739714400,0.7618,0.7744,0.7681,0.7712,2014469.2912369
1739710800,0.7675,0.7803,0.7787,0.7685,1136986.58536099
1739707200,0.7778,0.7849,0.7832,0.7786,785630.18111187
1739703600,0.7763,0.7842,0.7779,0.7834,594800.6098262
1739700000,0.7772,0.7817,0.7803,0.7777,391156.3613269
1739696400,0.7723,0.7829,0.7774,0.7806,783155.19797108
1739692800,0.7766,0.7811,0.7787,0.7773,380607.83559925
1739689200,0.7764,0.7845,0.7845,0.7786,796073.29005054
1739685600,0.7819,0.7869,0.7856,0.7846,750040.81866296
1739682000,0.7818,0.7891,0.7847,0.7858,699865.51275582
1739678400,0.7755,0.7848,0.7768,0.7847,678276.37459848
1739674800,0.772,0.7768,0.7748,0.7768,635051.62199904
1739671200,0.773,0.7822,0.7809,0.775,1175832.69607118
1739667600,0.7762,0.782,0.7805,0.781,1307966.81529157
1739664000,0.7794,0.7895,0.7811,0.7804,1239282.20897436
