time,low,high,open,close,volume
1740096000,2730.67,2746.59,2738.64,2735.93,4390.76984544
1740092400,2728.01,2747.39,2729.13,2738.65,2988.31449003
1740088800,2725.7,2738.41,2726.78,2729.01,1647.02525984
1740085200,2722.59,2753.26,2751.21,2726.77,3638.21328751
1740081600,2745.66,2762.56,2748.64,2751.4,5913.52365844
1740078000,2736.59,2768.63,2738.23,2748.71,6289.38190107
1740074400,2731.77,2751.53,2735.46,2737.92,6263.8395101
1740070800,2711.95,2738.15,2713.61,2735.66,4030.70615821
1740067200,2707.15,2731.46,2712.89,2713.63,5919.49054937
1740063600,2708.24,2739.6,2729.66,2713.12,12741.05328472
1740060000,2725.81,2771.9,2746.2,2729.57,8323.01678647
1740056400,2733.75,2754.24,2742.27,2746.13,2689.92783833
1740052800,2737.6,2746.69,2740.77,2742.28,1495.04373739
1740049200,2736.1,2747.3,2745.66,2740.75,1335.0641026
1740045600,2725.69,2746.11,2725.87,2745.66,1748.7543939
1740042000,2724.9,2734.15,2733.37,2726.11,1223.9669943
1740038400,2727.12,2736.3,2730.27,2733.37,1478.22212843
1740034800,2722.44,2737.73,2730.61,2730.28,1172.04511093
1740031200,2724.37,2736.98,2732.05,2730.61,1898.77984733
1740027600,2728.86,2742.58,2739.3,2731.99,2862.42293516
1740024000,2736.34,2758.19,2741.71,2739.07,3533.74506275
1740020400,2732.37,2748.13,2741.59,2741.71,2736.42633526
1740016800,2719.49,2751.18,2719.52,2741.8,3309.13107002
1740013200,2712.8,2733.22,2728.87,2719.52,2442.42034697
1740009600,2710.0,2733.69,2715.3,2728.88,2858.30050786
