time,low,high,open,close,volume
1739836800,121.43,122.5,122.28,122.07,12580.94537003
1739833200,122.08,123.54,122.85,122.28,8946.47085596
1739829600,122.64,125.15,124.0,122.87,15290.90507015
1739826000,120.93,124.03,121.0,124.0,23501.85161648
1739822400,120.64,121.66,121.02,121.05,23358.16269804
1739818800,120.0,121.34,120.8,121.06,12112.59628375
1739815200,120.62,121.89,121.09,120.81,12810.23817843
1739811600,120.81,122.61,122.34,121.12,19385.18357089
1739808000,120.68,123.56,122.03,122.34,80628.47788025
1739804400,121.81,124.23,123.93,122.07,36689.68713567
1739800800,123.23,126.3,123.6,123.95,30911.23884859
1739797200,123.49,124.4,124.31,123.6,9218.10069262
1739793600,124.16,125.54,124.24,124.31,11337.49884748
1739790000,123.8,124.75,124.33,124.22,7425.57543172
1739786400,123.93,126.17,125.6,124.37,12032.53760267
1739782800,125.04,126.36,125.67,125.65,11299.66603163
1739779200,124.87,126.44,125.46,125.63,13863.10628824
1739775600,125.05,127.52,126.62,125.47,16008.81000637
1739772000,125.39,127.12,125.53,126.64,12999.69488879
1739768400,123.22,126.27,124.81,125.52,17063.41793614
1739764800,123.74,125.28,124.67,124.8,17568.48986299
1739761200,124.18,125.58,125.53,124.63,19472.03391706
1739757600,125.46,128.15,127.95,125.54,23926.41446839
1739754000,126.58,128.88,127.04,127.96,28017.96930453
1739750400,124.7,127.3,125.73,127.04,19807.04134742
