time,low,high,open,close,volume
1739664000,2.7559,2.7845,2.7625,2.7715,3468848.533116
1739660400,2.7428,2.7665,2.7473,2.7626,3137503.123109
1739656800,2.725,2.7536,2.7435,2.7473,2740804.652593
1739653200,2.7295,2.747,2.7306,2.7437,3174712.849065
1739649600,2.7128,2.7526,2.7453,2.7304,5375450.76282
1739646000,2.7381,2.779,2.7768,2.7452,3768501.165817
1739642400,2.7469,2.7795,2.7482,2.7775,4018641.773895
1739638800,2.738,2.7777,2.7698,2.7489,5657955.571928
1739635200,2.7593,2.7861,2.7807,2.7694,3882547.011553
1739631600,2.7737,2.8051,2.7871,2.7805,4351490.569022
1739628000,2.755,2.8108,2.8097,2.787,7897507.076503
1739624400,2.7985,2.8248,2.7987,2.8098,3370037.354429
1739620800,2.7929,2.815,2.798,2.7986,2534978.10079
1739617200,2.7826,2.8147,2.8069,2.7977,2443973.026162
1739613600,2.7773,2.819,2.7873,2.8072,2263301.969932
1739610000,2.7855,2.8136,2.7989,2.7875,2185820.798463
1739606400,2.7636,2.8106,2.7639,2.7992,2432436.459223
1739602800,2.746,2.7755,2.7638,2.7638,2533472.047983
1739599200,2.7615,2.7928,2.7871,2.7644,3094976.321094
1739595600,2.7786,2.8077,2.7915,2.7871,3282686.109858
1739592000,2.7825,2.8161,2.8143,2.7914,5701568.522722
1739588400,2.7987,2.829,2.8233,2.8144,4627168.677521
1739584800,2.7815,2.8341,2.7821,2.8244,11222132.378204
1739581200,2.7453,2.7846,2.7482,2.7817,4543722.9385
1739577600,2.724,2.7523,2.7388,2.7482,3298566.602133
